message length (char), 200
425, 647, 1071, 1071,0.26772, 0.402075
494, 535, 1028, 1028,0.290442, 0.313206
626, 398, 1023, 1023,0.356704, 0.227473
636, 604, 1239, 1239,0.527556, 0.498834
533, 378, 910, 910,0.244493, 0.174448
351, 390, 740, 740,0.11063, 0.122727
364, 374, 737, 737,0.110194, 0.113351
650, 589, 1238, 1238,0.540991, 0.488887
498, 336, 833, 833,0.191835, 0.130306
334, 658, 991, 991,0.182317, 0.351358
369, 610, 978, 978,0.196715, 0.319647
624, 351, 974, 974,0.319531, 0.182737
476, 429, 904, 904,0.216433, 0.194141
458, 408, 865, 865,0.187108, 0.165439
424, 437, 860, 860,0.173603, 0.178444
403, 444, 846, 846,0.162612, 0.177088
396, 569, 964, 964,0.204881, 0.294901
427, 558, 984, 984,0.22982, 0.298548
388, 370, 757, 757,0.126821, 0.120542
405, 513, 917, 917,0.189236, 0.238692
558, 558, 1115, 1115,0.379015, 0.379506
537, 606, 1142, 1142,0.383505, 0.429362
664, 336, 999, 999,0.36299, 0.187618
419, 469, 887, 887,0.184119, 0.206407
344, 639, 982, 982,0.183184, 0.338413
520, 562, 1081, 1081,0.33171, 0.359304
547, 628, 1174, 1174,0.411697, 0.471916
379, 511, 889, 889,0.166457, 0.224936
653, 516, 1168, 1168,0.479947, 0.378679
488, 397, 884, 884,0.212092, 0.171854
654, 574, 1227, 1227,0.531262, 0.46471
369, 467, 835, 835,0.144068, 0.182315
623, 450, 1072, 1072,0.38894, 0.278556
624, 456, 1079, 1079,0.39281, 0.291665
438, 599, 1036, 1036,0.257489, 0.352313
459, 458, 916, 916,0.212267, 0.210827
642, 441, 1082, 1082,0.410742, 0.284066
460, 425, 884, 884,0.200182, 0.18438
584, 501, 1084, 1084,0.374617, 0.321703
534, 570, 1103, 1103,0.351735, 0.374667
506, 577, 1082, 1082,0.323367, 0.36658
344, 540, 883, 883,0.15155, 0.235034
658, 369, 1026, 1026,0.379983, 0.212019
610, 494, 1103, 1103,0.404292, 0.326858
457, 516, 972, 972,0.239026, 0.267256
589, 465, 1053, 1053,0.349375, 0.280383
433, 371, 803, 803,0.1574, 0.135495
534, 337, 870, 870,0.226186, 0.14329
653, 604, 1256, 1256,0.554548, 0.512659
452, 334, 785, 785,0.155829, 0.115011
368, 455, 822, 822,0.140935, 0.172325
567, 387, 953, 953,0.283474, 0.193278
494, 343, 836, 836,0.194688, 0.136265
455, 402, 856, 856,0.186449, 0.165562
337, 597, 933, 933,0.166246, 0.287558
592, 431, 1022, 1022,0.335169, 0.244434
520, 390, 909, 909,0.237138, 0.177864
464, 484, 947, 947,0.231427, 0.24019
612, 578, 1189, 1189,0.468075, 0.443956
463, 396, 858, 858,0.190676, 0.162268
415, 613, 1027, 1027,0.241439, 0.353909
600, 520, 1119, 1119,0.406514, 0.351859
509, 407, 915, 915,0.236548, 0.190372
446, 647, 1092, 1092,0.293511, 0.422644
438, 613, 1050, 1050,0.265642, 0.36757
619, 369, 987, 987,0.32814, 0.198121
451, 463, 913, 913,0.204612, 0.212063
465, 417, 881, 881,0.197998, 0.177507
646, 467, 1112, 1112,0.434451, 0.315809
472, 381, 852, 852,0.193444, 0.155692
504, 442, 945, 945,0.244414, 0.215582
337, 484, 820, 820,0.128175, 0.184533
429, 337, 765, 765,0.141086, 0.112006
432, 633, 1064, 1064,0.268168, 0.39158
413, 646, 1058, 1058,0.255054, 0.393617
397, 407, 803, 803,0.144103, 0.146928
477, 444, 920, 920,0.222357, 0.207212
335, 552, 886, 886,0.148843, 0.242649
341, 364, 704, 704,0.0959935, 0.101986
551, 502, 1052, 1052,0.333721, 0.302929
578, 520, 1097, 1097,0.380464, 0.341314
400, 471, 870, 870,0.169909, 0.200178
531, 388, 918, 918,0.246763, 0.18119
401, 520, 920, 920,0.190377, 0.243582
574, 463, 1036, 1036,0.335612, 0.272951
336, 617, 952, 952,0.168026, 0.305034
461, 448, 908, 908,0.208485, 0.201378
420, 548, 967, 967,0.217288, 0.282521
632, 482, 1113, 1113,0.427435, 0.326853
653, 488, 1140, 1140,0.463456, 0.345919
632, 481, 1112, 1112,0.425404, 0.323765
344, 399, 742, 742,0.109958, 0.127439
461, 395, 855, 855,0.186916, 0.16217
371, 495, 865, 865,0.152143, 0.202571
362, 386, 747, 747,0.115929, 0.122357
436, 427, 862, 862,0.178159, 0.175194
378, 535, 912, 912,0.174399, 0.245959
490, 616, 1105, 1105,0.325045, 0.408328
622, 387, 1008, 1008,0.345393, 0.214715
400, 462, 861, 861,0.163391, 0.187474
625, 623, 1247, 1247,0.517984, 0.516321
358, 405, 762, 762,0.118828, 0.132815
373, 513, 885, 885,0.162443, 0.223121
414, 642, 1055, 1055,0.252776, 0.388793
435, 345, 779, 779,0.147693, 0.119007
407, 422, 828, 828,0.15555, 0.162354
448, 502, 949, 949,0.224409, 0.250301
416, 397, 812, 812,0.15366, 0.147845
537, 361, 897, 897,0.235308, 0.158591
548, 511, 1058, 1058,0.332992, 0.311641
556, 506, 1061, 1061,0.346235, 0.310692
471, 430, 900, 900,0.213519, 0.193987
570, 576, 1145, 1145,0.404968, 0.410012
662, 636, 1297, 1297,0.592413, 0.571638
381, 539, 919, 919,0.180556, 0.251463
442, 421, 862, 862,0.18027, 0.172848
593, 488, 1080, 1080,0.377736, 0.313053
612, 558, 1169, 1169,0.449021, 0.412123
583, 437, 1019, 1019,0.332969, 0.248415
385, 570, 954, 954,0.19182, 0.283824
481, 579, 1059, 1059,0.296174, 0.357247
448, 646, 1093, 1093,0.292149, 0.423099
606, 426, 1031, 1031,0.353208, 0.247309
345, 583, 927, 927,0.163169, 0.274738
495, 520, 1014, 1014,0.282141, 0.294947
585, 633, 1217, 1217,0.461089, 0.503328
404, 570, 973, 973,0.213603, 0.295957
452, 389, 840, 840,0.179622, 0.15534
570, 418, 987, 987,0.304143, 0.224204
345, 516, 860, 860,0.142091, 0.210653
563, 355, 917, 917,0.261376, 0.16717
627, 623, 1249, 1249,0.520582, 0.516654
658, 553, 1210, 1210,0.523571, 0.43826
448, 459, 906, 906,0.201996, 0.207346
347, 607, 953, 953,0.174964, 0.301915
458, 444, 901, 901,0.204972, 0.200026
434, 393, 826, 826,0.165455, 0.150314
469, 458, 926, 926,0.218267, 0.213975
403, 396, 798, 798,0.143123, 0.139513
569, 528, 1096, 1096,0.374419, 0.345293
573, 375, 947, 947,0.286337, 0.187746
450, 390, 839, 839,0.177228, 0.153322
462, 362, 823, 823,0.174589, 0.138117
445, 483, 927, 927,0.210033, 0.227586
484, 560, 1043, 1043,0.287253, 0.331348
658, 506, 1163, 1163,0.480621, 0.373557
664, 387, 1050, 1050,0.396454, 0.230791
615, 466, 1080, 1080,0.389665, 0.297875
364, 472, 835, 835,0.143558, 0.183581
464, 533, 996, 996,0.255592, 0.293354
421, 382, 802, 802,0.152999, 0.137229
595, 401, 995, 995,0.321626, 0.219744
377, 616, 992, 992,0.202293, 0.329453
391, 497, 887, 887,0.173039, 0.217308
434, 622, 1055, 1055,0.260199, 0.370812
629, 606, 1234, 1234,0.515539, 0.495774
607, 487, 1093, 1093,0.39924, 0.321637
394, 658, 1051, 1051,0.240587, 0.393907
560, 518, 1077, 1077,0.352081, 0.32906
362, 391, 752, 752,0.116046, 0.124838
448, 520, 967, 967,0.230937, 0.26877
469, 402, 870, 870,0.19904, 0.170935
610, 405, 1014, 1014,0.346495, 0.229807
666, 622, 1287, 1287,0.595291, 0.55704
535, 407, 941, 941,0.261456, 0.197822
504, 486, 989, 989,0.268869, 0.261051
337, 454, 790, 790,0.120948, 0.161438
405, 388, 792, 792,0.14258, 0.137714
340, 431, 770, 770,0.115106, 0.144908
500, 437, 936, 936,0.241777, 0.211088
584, 531, 1114, 1114,0.394088, 0.356753
415, 639, 1053, 1053,0.252149, 0.383734
473, 396, 868, 868,0.200276, 0.168411
579, 366, 944, 944,0.283156, 0.179754
530, 491, 1020, 1020,0.301242, 0.277556
429, 603, 1031, 1031,0.253397, 0.35156
599, 408, 1006, 1006,0.333073, 0.226429
447, 438, 884, 884,0.193148, 0.190334
442, 584, 1025, 1025,0.251429, 0.330267
360, 348, 707, 707,0.10381, 0.100053
587, 338, 924, 924,0.276304, 0.158909
426, 460, 885, 885,0.18406, 0.201243
391, 388, 778, 778,0.132337, 0.132518
395, 539, 933, 933,0.191197, 0.257894
334, 433, 766, 766,0.11016, 0.141425
473, 472, 944, 944,0.227883, 0.230322
501, 536, 1036, 1036,0.294112, 0.314548
376, 623, 998, 998,0.207685, 0.342339
396, 360, 755, 755,0.131094, 0.118719
628, 353, 980, 980,0.335866, 0.189014
380, 385, 764, 764,0.125036, 0.126326
371, 456, 826, 826,0.14365, 0.173568
519, 610, 1128, 1128,0.359679, 0.423386
511, 340, 850, 850,0.205785, 0.136638
527, 598, 1124, 1124,0.36275, 0.411772
623, 556, 1178, 1178,0.46648, 0.416259
376, 388, 763, 763,0.123783, 0.127163
511, 577, 1087, 1087,0.328109, 0.370427
664, 371, 1034, 1034,0.390327, 0.221449
376, 421, 796, 796,0.134626, 0.150086
342, 397, 738, 738,0.105693, 0.124585
416, 627, 1042, 1042,0.249303, 0.372944
411, 370, 780, 780,0.141423, 0.126727
363, 347, 709, 709,0.104513, 0.0993583
484, 511, 994, 994,0.262749, 0.277718
419, 533, 951, 951,0.210075, 0.266849
552, 569, 1120, 1120,0.376118, 0.386142
575, 644, 1218, 1218,0.464446, 0.552871
433, 653, 1085, 1085,0.281522, 0.425483
407, 469, 875, 875,0.173118, 0.200513
600, 437, 1036, 1036,0.353944, 0.255761
386, 665, 1050, 1050,0.236267, 0.403545
432, 433, 864, 864,0.177851, 0.177803
363, 615, 977, 977,0.191392, 0.319831
337, 485, 821, 821,0.129768, 0.18392
562, 517, 1078, 1078,0.359171, 0.327784
382, 619, 1000, 1000,0.212123, 0.340742
467, 653, 1119, 1119,0.316923, 0.440605
515, 576, 1090, 1090,0.334273, 0.370042
351, 367, 717, 717,0.103053, 0.106933
358, 517, 874, 874,0.152216, 0.218872
599, 446, 1044, 1044,0.360191, 0.27094
444, 627, 1070, 1070,0.27765, 0.3918
472, 387, 858, 858,0.193532, 0.158877
469, 470, 938, 938,0.227234, 0.228295
563, 509, 1071, 1071,0.349931, 0.316965
374, 579, 952, 952,0.187137, 0.289044
632, 442, 1073, 1073,0.394318, 0.275328
416, 610, 1025, 1025,0.235376, 0.341194
464, 337, 800, 800,0.164096, 0.119538
467, 589, 1055, 1055,0.282457, 0.356082
409, 595, 1003, 1003,0.227161, 0.327384
390, 511, 900, 900,0.175768, 0.22999
556, 461, 1016, 1016,0.316871, 0.262274
416, 376, 791, 791,0.147398, 0.132543
664, 563, 1226, 1226,0.539294, 0.45571
473, 521, 993, 993,0.251946, 0.279111
595, 369, 963, 963,0.305085, 0.191759
436, 577, 1012, 1012,0.246368, 0.325143
506, 432, 937, 937,0.245915, 0.211004
338, 537, 874, 874,0.143143, 0.228811
501, 446, 946, 946,0.246765, 0.22177
599, 443, 1041, 1041,0.355676, 0.264034
467, 588, 1054, 1054,0.280814, 0.353463
645, 351, 995, 995,0.349631, 0.192768
627, 570, 1196, 1196,0.484523, 0.439833
580, 467, 1046, 1046,0.349229, 0.282284
458, 515, 972, 972,0.238138, 0.269121
432, 404, 835, 835,0.170154, 0.158134
417, 569, 985, 985,0.22294, 0.307291
628, 526, 1153, 1153,0.442367, 0.372876
366, 629, 994, 994,0.198991, 0.33925
484, 369, 852, 852,0.197712, 0.150102
603, 425, 1027, 1027,0.352284, 0.248717
521, 395, 915, 915,0.244166, 0.184779
650, 427, 1076, 1076,0.411219, 0.27188
577, 418, 994, 994,0.312135, 0.22692
556, 664, 1219, 1219,0.45015, 0.535594
521, 366, 886, 886,0.229635, 0.160694
371, 376, 746, 746,0.117603, 0.119055
500, 371, 870, 870,0.210232, 0.158204
605, 423, 1027, 1027,0.351907, 0.246681
450, 344, 793, 793,0.159102, 0.121718
560, 644, 1203, 1203,0.440343, 0.505451
656, 349, 1004, 1004,0.359257, 0.193527
615, 379, 993, 993,0.329399, 0.202983
465, 443, 907, 907,0.212773, 0.199921
469, 376, 844, 844,0.186388, 0.149244
529, 417, 945, 945,0.25718, 0.203043
352, 632, 983, 983,0.187848, 0.334831
612, 411, 1022, 1022,0.345802, 0.240496
640, 462, 1101, 1101,0.424036, 0.305658
658, 506, 1163, 1163,0.480882, 0.370038
523, 629, 1151, 1151,0.371984, 0.445772
554, 661, 1214, 1214,0.440134, 0.522912
391, 577, 967, 967,0.203851, 0.29617
491, 577, 1067, 1067,0.303689, 0.358998
443, 374, 816, 816,0.162779, 0.13873
660, 450, 1109, 1109,0.442451, 0.299605
360, 456, 815, 815,0.1334, 0.167793
448, 358, 805, 805,0.164418, 0.130715
513, 565, 1077, 1077,0.328714, 0.359677
558, 383, 940, 940,0.272482, 0.187111
624, 490, 1113, 1113,0.420395, 0.330342
622, 371, 992, 992,0.328813, 0.197667
519, 502, 1020, 1020,0.294599, 0.286391
364, 397, 760, 760,0.120716, 0.130954
552, 575, 1126, 1126,0.382552, 0.399252
453, 607, 1059, 1059,0.280348, 0.374085
472, 517, 988, 988,0.25508, 0.275049
574, 472, 1045, 1045,0.344153, 0.283373
558, 515, 1072, 1072,0.346699, 0.322573
476, 487, 962, 962,0.242479, 0.249943
651, 411, 1061, 1061,0.402701, 0.252513
361, 408, 768, 768,0.119428, 0.132902
463, 342, 804, 804,0.170886, 0.126058
607, 407, 1013, 1013,0.343301, 0.231121
554, 413, 966, 966,0.286953, 0.213231
518, 573, 1090, 1090,0.334891, 0.37056
519, 629, 1147, 1147,0.368648, 0.447194
401, 494, 894, 894,0.177565, 0.21775
512, 501, 1012, 1012,0.288261, 0.2833
384, 374, 757, 757,0.125329, 0.121744
363, 553, 915, 915,0.16912, 0.256659
421, 622, 1042, 1042,0.24944, 0.365731
480, 636, 1115, 1115,0.325531, 0.428944
387, 515, 901, 901,0.176972, 0.2352
461, 468, 928, 928,0.21437, 0.21812
462, 394, 855, 855,0.188007, 0.16265
439, 586, 1024, 1024,0.250328, 0.328095
367, 639, 1005, 1005,0.204155, 0.349259
484, 450, 933, 933,0.231833, 0.214519
408, 494, 901, 901,0.188365, 0.23397
342, 531, 872, 872,0.145112, 0.225468
369, 348, 716, 716,0.108861, 0.102348
589, 344, 932, 932,0.283123, 0.165591
639, 455, 1093, 1093,0.415483, 0.296733
447, 409, 855, 855,0.182107, 0.166343
502, 434, 935, 935,0.242468, 0.20905
485, 654, 1138, 1138,0.341839, 0.461781
551, 371, 921, 921,0.258877, 0.175142
374, 574, 947, 947,0.18566, 0.282255
339, 344, 682, 682,0.0895864, 0.0921721
335, 553, 887, 887,0.149174, 0.243118
613, 595, 1207, 1207,0.483632, 0.469872
620, 554, 1173, 1173,0.46228, 0.415605
498, 422, 919, 919,0.233521, 0.19749
664, 637, 1300, 1300,0.605724, 0.581365
647, 575, 1221, 1221,0.524915, 0.467198
499, 666, 1164, 1164,0.367054, 0.489197
460, 351, 810, 810,0.17066, 0.130049
438, 647, 1084, 1084,0.282898, 0.414172
394, 402, 795, 795,0.139657, 0.142731
528, 388, 915, 915,0.244738, 0.181248
388, 441, 828, 828,0.149052, 0.16878
473, 446, 918, 918,0.218727, 0.208397
661, 421, 1081, 1081,0.422094, 0.272475
448, 488, 935, 935,0.21743, 0.235829
465, 610, 1074, 1074,0.292589, 0.382075
352, 610, 961, 961,0.176062, 0.30284
595, 498, 1092, 1092,0.387465, 0.326176
518, 445, 962, 962,0.263439, 0.227686
582, 380, 961, 961,0.288441, 0.190093
350, 574, 923, 923,0.165059, 0.267591
658, 410, 1067, 1067,0.407633, 0.256527
409, 487, 895, 895,0.180488, 0.216551
627, 344, 970, 970,0.326086, 0.178635
653, 513, 1165, 1165,0.476585, 0.372851
447, 529, 975, 975,0.234571, 0.276562
577, 493, 1069, 1069,0.359679, 0.307723
342, 387, 728, 728,0.103942, 0.116436
370, 369, 738, 738,0.113959, 0.113709
384, 572, 955, 955,0.194829, 0.288226
536, 420, 955, 955,0.267485, 0.21138
567, 370, 936, 936,0.273664, 0.179074
415, 452, 866, 866,0.173107, 0.187746
589, 545, 1133, 1133,0.410661, 0.378808
340, 446, 785, 785,0.116157, 0.152834
449, 616, 1064, 1064,0.278216, 0.383478
446, 376, 821, 821,0.168555, 0.142043
638, 509, 1146, 1146,0.451512, 0.3621
474, 623, 1096, 1096,0.311134, 0.408083
472, 533, 1004, 1004,0.264311, 0.295304
380, 401, 780, 780,0.129366, 0.137046
484, 472, 955, 955,0.243011, 0.236278
449, 493, 941, 941,0.218218, 0.239139
480, 536, 1015, 1015,0.273765, 0.307717
448, 462, 909, 909,0.203671, 0.20896
338, 340, 677, 677,0.0896032, 0.0910044
431, 607, 1037, 1037,0.25357, 0.354329
599, 518, 1116, 1116,0.407432, 0.351002
651, 539, 1189, 1189,0.500264, 0.410571
374, 434, 807, 807,0.138263, 0.158898
556, 527, 1082, 1082,0.356274, 0.336904
575, 662, 1236, 1236,0.476772, 0.544469
519, 468, 986, 986,0.27765, 0.250535
346, 385, 730, 730,0.105646, 0.116101
337, 421, 757, 757,0.110284, 0.137729
438, 537, 974, 974,0.228967, 0.281976
537, 509, 1045, 1045,0.322419, 0.305607
405, 636, 1040, 1040,0.240098, 0.376649
411, 378, 788, 788,0.146753, 0.134579
495, 641, 1135, 1135,0.344246, 0.444798
337, 472, 808, 808,0.126619, 0.174798
364, 569, 932, 932,0.176231, 0.273527
467, 563, 1029, 1029,0.2739, 0.328335
498, 570, 1067, 1067,0.30791, 0.353048
647, 428, 1074, 1074,0.409065, 0.270453
537, 463, 999, 999,0.296015, 0.257925
537, 340, 876, 876,0.230594, 0.147699
589, 482, 1070, 1070,0.364008, 0.29988
627, 386, 1012, 1012,0.355182, 0.21934
421, 482, 902, 902,0.192099, 0.21893
397, 473, 869, 869,0.167152, 0.200461
337, 377, 713, 713,0.100159, 0.109635
482, 369, 850, 850,0.193182, 0.148109
500, 570, 1069, 1069,0.31075, 0.353544
592, 467, 1058, 1058,0.362476, 0.284315
428, 569, 996, 996,0.234231, 0.314034
524, 405, 928, 928,0.245778, 0.190345
363, 380, 742, 742,0.11503, 0.121262
654, 358, 1011, 1011,0.367928, 0.203391
651, 433, 1083, 1083,0.410776, 0.275714
554, 557, 1110, 1110,0.373222, 0.373468
610, 506, 1115, 1115,0.410199, 0.341061
421, 378, 798, 798,0.150194, 0.135657
557, 629, 1185, 1185,0.418902, 0.471547
467, 519, 985, 985,0.250157, 0.277371
398, 561, 958, 958,0.201961, 0.280313
377, 355, 731, 731,0.11497, 0.109117
595, 557, 1151, 1151,0.425661, 0.398842
552, 653, 1204, 1204,0.43445, 0.513508
589, 425, 1013, 1013,0.331903, 0.239357
513, 529, 1041, 1041,0.302714, 0.310469
468, 454, 921, 921,0.219138, 0.213407
619, 537, 1155, 1155,0.44632, 0.388655
500, 548, 1047, 1047,0.299646, 0.327778
457, 537, 993, 993,0.245515, 0.287304
340, 571, 910, 910,0.154571, 0.260911
422, 500, 921, 921,0.20069, 0.234347
536, 472, 1007, 1007,0.297651, 0.263216
570, 465, 1034, 1034,0.334311, 0.274914
450, 342, 791, 791,0.158712, 0.121034
394, 382, 775, 775,0.132735, 0.129229
516, 466, 981, 981,0.274288, 0.248393
338, 645, 982, 982,0.181497, 0.344168
432, 398, 829, 829,0.164376, 0.153988
455, 506, 960, 960,0.228161, 0.252734
562, 455, 1016, 1016,0.317509, 0.258102
499, 484, 982, 982,0.266612, 0.257866
610, 513, 1122, 1122,0.416976, 0.351233
523, 348, 870, 870,0.221853, 0.149093
442, 642, 1083, 1083,0.281351, 0.410496
603, 382, 984, 984,0.320436, 0.204604
471, 514, 984, 984,0.252377, 0.275183
417, 485, 901, 901,0.189247, 0.219123
612, 456, 1067, 1067,0.378769, 0.285131
544, 355, 898, 898,0.240468, 0.160887
568, 351, 918, 918,0.264333, 0.165095
493, 569, 1061, 1061,0.30581, 0.351409
391, 444, 834, 834,0.153614, 0.172221
501, 475, 975, 975,0.261429, 0.24772
438, 383, 820, 820,0.167227, 0.145582
506, 419, 924, 924,0.238192, 0.19758
563, 435, 997, 997,0.3055, 0.238577
556, 471, 1026, 1026,0.322767, 0.271942
359, 469, 827, 827,0.136682, 0.177846
615, 636, 1250, 1250,0.510749, 0.533775
518, 383, 900, 900,0.233649, 0.173106
582, 557, 1138, 1138,0.408853, 0.390241
386, 616, 1001, 1001,0.21514, 0.339814
506, 615, 1120, 1120,0.3423, 0.411003
518, 432, 949, 949,0.260197, 0.215049
649, 377, 1025, 1025,0.369145, 0.215769
425, 488, 912, 912,0.195767, 0.223618
401, 405, 805, 805,0.146193, 0.146846
418, 351, 768, 768,0.137594, 0.116273
556, 381, 936, 936,0.268223, 0.186014
414, 369, 782, 782,0.143063, 0.128101
610, 420, 1029, 1029,0.355457, 0.245855
659, 651, 1309, 1309,0.601869, 0.590018
354, 416, 769, 769,0.116469, 0.136543
360, 642, 1001, 1001,0.200195, 0.352952
649, 485, 1133, 1133,0.448596, 0.334982
396, 554, 949, 949,0.198313, 0.276223
649, 477, 1125, 1125,0.448317, 0.330415
490, 389, 878, 878,0.209587, 0.166907
658, 397, 1054, 1054,0.396621, 0.24243
635, 334, 968, 968,0.32944, 0.175241
495, 370, 864, 864,0.2032, 0.152923
433, 647, 1079, 1079,0.275851, 0.411574
558, 399, 956, 956,0.281709, 0.201086
577, 337, 913, 913,0.265712, 0.154206
454, 626, 1079, 1079,0.289215, 0.398647
417, 446, 862, 862,0.169766, 0.181955
370, 501, 870, 870,0.156397, 0.21214
373, 639, 1011, 1011,0.210188, 0.356705
447, 387, 833, 833,0.168846, 0.145439
610, 433, 1042, 1042,0.360138, 0.256823
401, 436, 836, 836,0.157941, 0.171094
462, 634, 1095, 1095,0.302812, 0.415352
513, 654, 1166, 1166,0.375756, 0.479116
568, 464, 1031, 1031,0.33268, 0.27437
642, 387, 1028, 1028,0.374897, 0.22756
397, 529, 925, 925,0.188675, 0.247408
652, 370, 1021, 1021,0.369894, 0.210241
552, 534, 1085, 1085,0.351974, 0.340641
615, 628, 1242, 1242,0.504983, 0.517586
413, 349, 761, 761,0.136055, 0.11492
484, 397, 880, 880,0.207834, 0.170033
573, 374, 946, 946,0.283831, 0.186094
572, 627, 1198, 1198,0.441812, 0.480017
600, 422, 1021, 1021,0.342514, 0.240956
351, 421, 771, 771,0.120062, 0.141141
336, 370, 705, 705,0.0950406, 0.102753
651, 337, 987, 987,0.348215, 0.18389
386, 408, 793, 793,0.136203, 0.143331
654, 493, 1146, 1146,0.468502, 0.350298
399, 516, 914, 914,0.186605, 0.237271
421, 490, 910, 910,0.194365, 0.223026
